#,player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,dnk,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc
33,Gabriel Chachashvili,,22,5,67,0,25,2,3,5,4,3,0,1,0,2,0,0,6,11,2,3,0,0,1,4,Hapoel Haifa,H
35,Zach Hankins,*,27,13,62,0,60,5,3,8,3,4,1,3,1,0,0,1,16,5,5,8,0,0,3,5,Hapoel Haifa,H
44,Speedy Smith,*,31,10,40,33,0,5,2,7,3,1,1,2,11,0,0,0,18,15,2,5,2,6,0,0,Hapoel Haifa,H
45,Eylon Poleg,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hapoel Haifa,H
50,Yovel Zoosman,*,31,24,60,75,0,2,1,3,2,2,1,2,2,1,0,0,25,26,3,5,6,8,0,0,Hapoel Haifa,H
80,Or Cornelius,*,25,2,0,0,100,2,0,2,4,2,2,2,3,0,0,0,0,0,0,2,0,3,2,2,Hapoel Haifa,H
,Total,,200,88,47,50,70,27,16,43,23,20,7,13,22,3,1,1,108,0,16,34,14,28,14,20,Hapoel Haifa,H
,Team,,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Bnei Herzeliya,H
4,Chris Johnson,,21,8,50,100,75,1,2,3,1,4,2,1,0,0,0,0,13,18,1,2,1,1,3,4,Bnei Herzeliya,H
11,Brynton Lemar,,18,14,33,40,80,3,1,4,4,4,0,0,1,0,1,0,10,7,2,6,2,5,4,5,Bnei Herzeliya,H
20,Levi Randolph,*,31,13,27,14,67,3,2,5,1,3,2,0,1,0,0,0,7,7,3,11,1,7,4,6,Bnei Herzeliya,H
24,Oz Blayzer,*,17,3,0,100,0,3,1,4,0,0,1,0,1,0,0,0,9,6,0,0,1,1,0,0,Bnei Herzeliya,H
33,Gabriel Chachashvili,,16,6,25,0,100,2,3,5,3,1,0,1,0,0,0,0,2,11,2,8,0,0,2,2,Bnei Herzeliya,H
35,Zach Hankins,*,26,11,62,0,25,5,4,9,4,3,0,1,0,0,1,4,11,-3,5,8,0,0,1,4,Bnei Herzeliya,H
44,Speedy Smith,*,28,14,100,22,0,2,2,4,2,1,2,1,6,0,0,0,17,17,4,4,2,9,0,0,Bnei Herzeliya,H
50,Yovel Zoosman,,26,12,80,25,50,4,0,4,3,1,4,1,1,1,1,0,13,24,4,5,1,4,1,2,Bnei Herzeliya,H
80,Or Cornelius,*,17,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-5,-7,0,1,0,3,0,0,Bnei Herzeliya,H
,Total,,200,81,47,27,65,24,20,44,19,17,12,6,10,1,3,4,83,0,21,45,8,30,15,23,Bnei Herzeliya,H
,Team,,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,Hapoel Eilat,A
4,Chris Johnson,,19,13,83,0,75,2,1,3,3,2,2,1,2,0,1,0,14,17,5,6,0,1,3,4,Hapoel Eilat,A
11,Brynton Lemar,,23,12,80,33,100,4,0,4,1,3,2,3,0,0,0,0,14,10,4,5,1,3,1,1,Hapoel Eilat,A
20,Levi Randolph,*,29,19,71,50,100,4,1,5,1,3,0,1,4,0,0,0,25,35,5,7,2,4,3,3,Hapoel Eilat,A
23,Afek Amsalem,,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,-2,4,0,0,0,1,0,0,Hapoel Eilat,A
24,Oz Blayzer,*,15,6,0,50,0,5,0,5,0,0,0,0,0,1,0,0,10,27,0,0,2,4,0,0,Hapoel Eilat,A
33,Gabriel Chachashvili,,17,13,100,0,75,7,2,9,2,3,1,2,0,0,0,3,21,13,5,5,0,0,3,4,Hapoel Eilat,A
35,Zach Hankins,*,22,8,50,0,80,2,3,5,3,5,0,2,0,0,1,1,9,19,2,4,0,0,4,5,Hapoel Eilat,A
44,Speedy Smith,*,26,10,100,40,100,4,1,5,2,2,1,4,4,0,0,0,13,21,1,1,2,5,2,2,Hapoel Eilat,A
45,Eylon Poleg,,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,-3,4,0,0,0,0,0,0,Hapoel Eilat,A
50,Yovel Zoosman,,23,7,40,0,100,2,4,6,1,2,1,0,1,0,0,0,10,14,2,5,0,3,3,3,Hapoel Eilat,A
80,Or Cornelius,*,20,7,67,0,75,3,0,3,3,3,1,2,2,0,0,0,9,26,2,3,0,0,3,4,Hapoel Eilat,A
,Total,,200,95,72,33,85,35,13,48,19,23,8,17,14,1,2,4,123,0,26,36,7,21,22,26,Hapoel Eilat,A
,Team,,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,Ness Ziona,A
4,Chris Johnson,,26,21,57,50,100,4,7,11,4,8,1,0,1,0,1,0,33,1,4,7,1,2,10,10,Ness Ziona,A
11,Brynton Lemar,,18,12,0,50,100,3,0,3,0,2,2,3,0,0,1,0,11,4,0,2,2,4,6,6,Ness Ziona,A
20,Levi Randolph,*,28,20,43,33,83,2,0,2,1,4,0,1,1,0,0,0,14,1,3,7,3,9,5,6,Ness Ziona,A
24,Oz Blayzer,*,13,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,-2,-8,0,0,0,1,0,0,Ness Ziona,A
33,Gabriel Chachashvili,,13,2,50,0,0,2,0,2,2,0,0,2,1,0,0,0,0,8,1,2,0,0,0,0,Ness Ziona,A
35,Zach Hankins,*,23,2,33,0,0,2,1,3,4,1,0,2,0,0,0,0,-2,0,1,3,0,0,0,0,Ness Ziona,A
44,Speedy Smith,*,30,12,0,38,50,4,2,6,4,4,1,2,6,0,0,0,15,4,0,0,3,8,3,6,Ness Ziona,A
50,Yovel Zoosman,,27,0,0,0,0,1,2,3,3,0,2,1,2,0,0,0,-2,4,0,2,0,3,0,0,Ness Ziona,A
