player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Eidan Alber,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
Noam Avivi,,22,5,100,100,0,5,1,6,4,1,0,1,3,0,0,10,5,1,1,1,1,0,0,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
Gilad Levy,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
J'Covan Brown,*,35,24,60,50,75,4,0,4,3,3,2,1,4,0,0,25,-1,6,10,3,6,3,4,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
Total,,200,92,64,35,76,28,7,35,24,16,6,13,14,3,1,96,0,29,45,6,17,16,21,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
Team,,0,0,0,0,0,5,2,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Sandy Cohen,*,21,0,0,0,0,0,1,1,1,1,0,2,1,2,0,-4,-19,0,0,0,6,0,0,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Justyn Mutts,*,38,12,56,0,40,8,0,8,1,7,6,2,3,3,0,29,8,5,9,0,0,2,5,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
El Ellis,*,35,17,67,17,67,2,1,3,3,4,1,2,3,0,0,14,24,6,9,1,6,2,3,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
JP Tokoto,*,32,19,54,0,62,4,7,11,3,5,2,4,3,0,3,21,1,7,13,0,0,5,8,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Ori Atia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Eyal Harel,,14,4,100,0,0,2,4,6,2,1,0,1,2,0,0,10,19,2,2,0,0,0,0,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Ori Ovadia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Muriel Lutati,*,14,2,33,0,0,0,0,0,3,1,0,3,0,0,0,-7,-16,1,3,0,2,0,0,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Noam Avivi,,24,11,100,60,0,4,2,6,2,1,0,3,5,0,0,16,18,1,1,3,5,0,0,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Gilad Levy,,5,2,50,0,0,1,2,3,0,0,0,1,0,0,0,3,1,1,2,0,0,0,0,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
J'Covan Brown,,41,19,57,33,100,5,0,5,1,2,3,0,5,0,1,23,12,4,7,3,9,2,2,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Total,,225,86,59,25,61,31,19,50,16,22,12,18,22,5,4,112,0,27,46,7,28,11,18,Hapoel_Holon,H,24,24,Ariel Bet Halahmi
Team,,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
Sandy Cohen,*,26,8,60,0,100,1,1,2,2,1,0,0,2,1,0,7,-11,3,5,0,3,2,2,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
Justyn Mutts,*,31,23,85,0,25,5,2,7,5,4,1,3,2,0,0,24,-11,11,13,0,0,1,4,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
El Ellis,*,31,9,80,0,33,7,1,8,1,3,1,3,4,0,0,16,-13,4,5,0,2,1,3,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
JP Tokoto,*,31,18,42,0,67,3,3,6,1,3,0,3,2,0,1,12,-14,8,19,0,0,2,3,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
Ori Atia,,1,2,100,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,1,0,0,0,0,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
Eyal Harel,,6,2,100,0,0,2,0,2,2,0,1,0,0,0,0,2,7,1,1,0,1,0,0,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
Eidan Alber,,16,6,67,0,100,0,0,0,1,2,1,0,2,0,0,8,15,2,3,0,1,2,2,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
Noam Avivi,,23,7,50,0,100,1,1,2,4,1,0,2,1,0,1,0,1,3,6,0,1,1,1,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
J'Covan Brown,*,35,17,33,50,100,6,1,7,2,3,1,0,13,0,0,33,-19,1,3,4,8,3,3,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
Total,,200,92,61,25,67,26,11,37,18,17,5,11,26,1,2,107,0,34,56,4,16,12,18,Bnei_Herzliya,A,26,26,Ariel Bet Halahmi
Team,,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,A,29,29,Ariel Bet Halahmi
Sandy Cohen,,31,7,100,33,50,4,1,5,1,4,2,2,0,2,0,13,2,1,1,1,3,2,4,Ironi_Kiryat_Ata,A,29,29,Ariel Bet Halahmi
Justyn Mutts,*,39,16,88,0,50,2,6,8,1,3,4,3,6,2,0,31,11,7,8,0,1,2,4,Ironi_Kiryat_Ata,A,29,29,Ariel Bet Halahmi
El Ellis,*,36,21,50,33,100,2,1,3,1,3,1,2,3,0,1,16,12,5,10,3,9,2,2,Ironi_Kiryat_Ata,A,29,29,Ariel Bet Halahmi
JP Tokoto,*,32,28,56,100,88,5,2,7,5,6,2,3,1,0,0,28,12,9,16,1,1,7,8,Ironi_Kiryat_Ata,A,29,29,Ariel Bet Halahmi
