player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Rokas Jokubaitis,*,14,7,67,33,0,1,0,1,1,1,1,1,0,0,0,5,11,2,3,1,3,0,0,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Wenyen Gabriel,,15,8,60,0,40,3,4,7,2,4,0,3,0,0,0,9,-3,3,5,0,0,2,5,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Total,,200,77,66,23,77,31,11,42,19,17,6,13,19,2,2,91,0,23,35,7,30,10,13,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Team,,0,0,0,0,0,5,2,7,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,Elitzur_Netanya,A,4,3,Oded Katash
Jaylen Hoard,*,29,10,67,0,67,9,1,10,2,2,0,1,3,0,1,18,10,4,6,0,0,2,3,Elitzur_Netanya,A,4,3,Oded Katash
Rafi Menco,*,28,10,50,33,0,7,1,8,4,0,2,0,1,1,1,11,5,2,4,2,6,0,0,Elitzur_Netanya,A,4,3,Oded Katash
Roman Sorkin,*,20,11,33,40,50,1,2,3,2,1,0,2,2,1,1,5,5,2,6,2,5,1,2,Elitzur_Netanya,A,4,3,Oded Katash
Omer Mayer,,16,2,33,0,0,2,0,2,1,1,0,1,3,0,0,3,-4,1,3,0,1,0,0,Elitzur_Netanya,A,4,3,Oded Katash
Will Rayman,,16,0,0,0,0,0,2,2,2,1,1,0,1,0,0,-1,0,0,1,0,3,0,0,Elitzur_Netanya,A,4,3,Oded Katash
John Dibartolomeo,*,27,9,67,17,67,1,2,3,4,4,3,1,5,0,0,12,7,2,3,1,6,2,3,Elitzur_Netanya,A,4,3,Oded Katash
